Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
The Rite,2011,114,6.0,103000,Mikael Håfström,"Michael Petroni, Matt Baglio",Colin O'Donoghue|Anthony Hopkins|Ciarán Hinds,Drama|Horror|Mystery,37000000.0,96047633.0
Sint,2010,88,5.6,9700,Dick Maas,Dick Maas,Egbert Jan Weeber|Bert Luppes|Caro Lenssen,Comedy|Fantasy|Horror,4000000.0,4000000.0
The Blackening,2022,97,6.0,19000,Tim Story,"Tracy Oliver, Dewayne Perkins",Grace Byers|Jermaine Fowler|Melvin Gregg,Comedy|Horror|Thriller,5000000.0,16000000.0
It's Alive,2009,80,3.5,3000,Josef Rusnak,"Larry Cohen, Paul Sopocy, James Portolese",Bijou Phillips|James Murray|Raphaël Coleman,Horror|Sci-Fi,10000000.0,1035267.0
A Nightmare on Elm Street,2010,95,5.2,108000,Samuel Bayer,"Wesley Strick, Eric Heisserer, Wes Craven",Jackie Earle Haley|Rooney Mara|Kyle Gallner,Crime|Drama|Horror,1800000.0,57004513.0
6 Souls,2010,112,6.0,37000,"Måns Mårlind, Björn Stein",Michael Cooney,Julianne Moore|Jonathan Rhys Meyers|Jeffrey DeMunn,Horror|Thriller,22000000.0,851517.0
My Bloody Valentine,2009,101,5.4,60000,Patrick Lussier,"Todd Farmer, Zane Smith, John Beaird",Jensen Ackles|Jaime King|Kerr Smith,Horror|Mystery|Thriller,15000000.0,102836002.0
Paranormal Activity,2007,86,6.3,256000,Oren Peli,Oren Peli,Katie Featherston|Micah Sloat|Mark Fredrichs,Horror|Mystery,215000.0,193355800.0
10 Cloverfield Lane,2016,103,7.2,355000,Dan Trachtenberg,"Josh Campbell, Matt Stuecken, Damien Chazelle",John Goodman|Mary Elizabeth Winstead|John Gallagher Jr.,Drama|Horror|Mystery,15000000.0,110216998.0
La abuela,2021,100,5.9,5500,Paco Plaza,Carlos Vermut,Almudena Amor|Vera Valdez|Karina Kolokolchykova,Horror,3749231.0,1817696.0
Orphan: First Kill,2022,99,5.9,46000,William Brent Bell,"David Coggeshall, David Leslie Johnson-McGoldrick, Alex Mace",Isabelle Fuhrman|Julia Stiles|Rossif Sutherland,Crime|Drama|Horror,10000000.0,9572765.0
Stan Helsing,2009,108,3.6,15000,Bo Zenga,Bo Zenga,Steve Howey|Diora Baird|Kenan Thompson,Comedy|Fantasy|Horror,365000.0,1400000.0
Pandorum,2009,108,6.7,160000,Christian Alvart,"Travis Milloy, Christian Alvart",Dennis Quaid|Ben Foster|Cam Gigandet,Action|Horror|Mystery,33000000.0,20648328.0
Sputnik,2020,113,6.4,27000,Egor Abramenko,"Oleg Malovichko, Andrey Zolotarev",Oksana Akinshina|Fedor Bondarchuk|Pyotr Fyodorov,Drama|Horror|Mystery,2600000.0,354023.0
Ouija,2014,89,4.5,57000,Stiles White,"Juliet Snowden, Stiles White, Occultum Luciferus",Olivia Cooke|Ana Coto|Daren Kagasoff,Horror|Mystery|Thriller,5000000.0,103600000.0
The Rain,2009,108,3.8,458,Douglas Schulze,"Kurt Eli Mayry, Douglas Schulze, Mark C. Schwarz",David Carradine|Richard Lynch|Dee Wallace,Horror,2540800.0,7200000.0
Godzilla,1957,92,7.2,124,Ishirô Honda,"Michel Gast, Bruno Guillaume, Ishirô Honda",Raymond Burr|Toyoaki Suzuki|Frank Iwanaga,Horror|Sci-Fi,900000.0,2250000.0
The Fourth Kind,2009,98,5.9,82000,Olatunde Osunsanmi,"Olatunde Osunsanmi, Terry Robbins",Milla Jovovich|Elias Koteas|Will Patton,Horror|Mystery|Sci-Fi,10000000.0,47709193.0
Resident Evil: Afterlife,2010,96,5.8,179000,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich|Ali Larter|Wentworth Miller,Action|Horror|Sci-Fi,60000000.0,300200000.0
Alive or Dead,2008,83,3.1,872,Stephen Goetsch,Stephen Goetsch,Ann Henson|Angelica May|Flint Esquerra,Horror,21000000.0,7600000.0
Pontypool,2008,93,6.5,36000,Bruce McDonald,Tony Burgess,Stephen McHattie|Lisa Houle|Georgina Reilly,Horror|Sci-Fi,1500000.0,32000.0
Let Me In,2010,116,7.1,127000,Matt Reeves,"Matt Reeves, John Ajvide Lindqvist",Kodi Smit-McPhee|Chloë Grace Moretz|Richard Jenkins,Drama|Fantasy|Horror,20000000.0,24145613.0
Sorority Row,2009,101,5.1,32000,Stewart Hendler,"Josh Stolberg, Pete Goldfinger, Mark Rosman",Briana Evigan|Rumer Willis|Carrie Fisher,Horror|Mystery,12500000.0,27200000.0
