original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Happy Death Day,Happy Death Day,en,2017-10-12,35,5369,6,4800000,125479266,97,"Comedy, Horror, Mystery",2017
Friday the 13th Part III,Friday the 13th Part III,en,1982-08-13,35,1062,5,4000000,36690067,95,Horror,1982
The Craft,The Craft,en,1996-05-03,35,1497,6,15000000,24819936,101,"Drama, Fantasy, Horror",1996
The Devil's Advocate,The Devil's Advocate,en,1997-10-17,35,4887,7,57000000,152944660,144,"Drama, Horror, Mystery, Thriller",1997
Children of the Corn,Children of the Corn,en,1984-03-09,34,796,5,800000,14568989,92,"Horror, Thriller",1984
Overlord,Overlord,en,2018-11-01,34,2406,6,38000000,41657844,110,"Horror, Science Fiction, War",2018
The Mist,The Mist,en,2007-11-21,34,4147,6,18000000,57470220,126,"Horror, Science Fiction, Thriller",2007
シン・ゴジラ,Shin Godzilla,ja,2016-07-29,34,866,7,15000000,77947607,120,"Action, Horror, Science Fiction",2016
I Know What You Did Last Summer,I Know What You Did Last Summer,en,1997-10-17,34,2272,5,17000000,125586134,101,"Horror, Mystery, Thriller",1997
The Babadook,The Babadook,en,2014-05-22,33,5251,6,2000000,10312540,94,"Drama, Horror",2014
Pahanhautoja,Hatching,fi,2022-03-04,33,142,6,3896000,490000,91,"Fantasy, Horror",2022
Evil Dead II,Evil Dead II,en,1987-03-13,33,2428,7,3500000,10900000,84,"Comedy, Fantasy, Horror",1987
Leatherface: The Texas Chainsaw Massacre III,Leatherface: The Texas Chainsaw Massacre III,en,1990-01-12,33,396,5,2000000,5765562,85,Horror,1990
The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre 2,en,1986-08-22,33,647,5,4500000,8025872,101,"Comedy, Horror",1986
Freaky,Freaky,en,2020-11-12,33,1140,6,5000000,15104310,102,"Comedy, Fantasy, Horror, Thriller",2020
Warm Bodies,Warm Bodies,en,2013-01-31,33,5495,6,35000000,116980662,97,"Comedy, Horror, Romance",2013
Exorcist II: The Heretic,Exorcist II: The Heretic,en,1977-06-17,32,540,4,14000000,30749142,118,"Drama, Horror, Thriller",1977
Pet Sematary,Pet Sematary,en,2019-04-04,32,2765,5,21000000,112399944,101,"Horror, Thriller",2019
Priest,Priest,en,2011-05-05,32,1923,5,60000000,78309131,87,"Action, Horror, Thriller",2011
Countdown,Countdown,en,2019-10-24,32,1680,6,6500000,48021766,90,"Horror, Thriller",2019
Life,Life,en,2017-03-22,32,6326,6,58000000,100541806,104,"Horror, Mystery, Science Fiction, Thriller",2017
"장화, 홍련",A Tale of Two Sisters,ko,2003-06-13,32,904,7,15050245,1062878,115,"Drama, Horror, Mystery",2003
See No Evil,See No Evil,en,2006-05-19,32,528,5,8000000,18707966,84,"Horror, Thriller",2006
