ID,Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
1009,Cheap,2005,117,6.7,194,Brad Jones,Brad Jones,David Gobble|Brad Jones|Carrie Jo Stucki,Crime|Drama|Horror,60000000,129181830
1010,Zombieland: Double Tap,2019,99,6.7,203000,Ruben Fleischer,"Rhett Reese, Paul Wernick, Dave Callaham",Woody Harrelson|Jesse Eisenberg|Emma Stone,Action|Comedy|Horror,42000000,122800000
1011,The Devil Inside,2012,83,4.2,38000,William Brent Bell,"William Brent Bell, Matthew Peterman",Fernanda Andrade|Simon Quarterman|Evan Helmuth,Horror,1000000,101800000
1012,The Afflicted,2011,85,4.5,1500,Jason Stoddard,Jason Stoddard,Leslie Easterbrook|Kane Hodder|J.D. Hart,Horror|Thriller,180000,175742
1013,Knock at the Cabin,2023,100,6.1,116000,M. Night Shyamalan,"Paul Tremblay, M. Night Shyamalan, Steve Desmond",Dave Bautista|Jonathan Groff|Ben Aldridge,Horror|Mystery|Thriller,20000000,54700000
1014,Jack & Jill: The Hills of Hell,2022,76,2.6,133,Adam Cowie,,Karell Vertet|Lee Hancock|Stephanie Lodge,Horror,33746302,3484370
1015,Texas Chainsaw 3D,2013,92,4.8,56000,John Luessenhop,"Adam Marcus, Debra Sullivan, Kirsten Elms",Alexandra Daddario|Tania Raymonde|Scott Eastwood,Horror|Thriller,20000000,47300000
1016,Balada triste de trompeta,2010,107,6.5,15000,Álex de la Iglesia,Álex de la Iglesia,Carlos Areces|Antonio de la Torre|Carolina Bang,Comedy|Drama|Horror,7000000,3604598
1018,Barbarian,2022,102,7.0,182000,Zach Cregger,Zach Cregger,Georgina Campbell|Bill Skarsgård|Justin Long,Horror|Mystery|Thriller,4500000,45400000
1019,Cello,2023,120,6.0,2500,Darren Lynn Bousman,Turki Al Alshikh,Jeremy Irons|Tobin Bell|Samer Ismail,Horror|Mystery|Thriller,17000000,5314
1020,Warm Bodies,2013,98,6.8,244000,Jonathan Levine,"Isaac Marion, Jonathan Levine",Nicholas Hoult|Teresa Palmer|John Malkovich,Comedy|Horror|Romance,35000000,117000000
1021,Insidious,2010,103,6.8,339000,James Wan,Leigh Whannell,Patrick Wilson|Rose Byrne|Ty Simpkins,Horror|Mystery|Thriller,1500000,100106454
1022,The Innkeepers,2011,101,5.5,37000,Ti West,Ti West,Sara Paxton|Pat Healy|Kelly McGillis,Drama|Horror|Mystery,750000,78396
