original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Species II,Species II,en,1998-04-10,21.794,537.0,5.1,35000000.0,19165560.0,93.0,"Action, Horror, Science Fiction",1998
The House That Jack Built,The House That Jack Built,en,2018-10-04,21.768,2186.0,7.2,9800000.0,5566776.0,153.0,"Crime, Drama, Horror, Thriller",2018
Urban Legends: Final Cut,Urban Legends: Final Cut,en,2000-09-22,21.559,381.0,4.8,14000000.0,38574362.0,97.0,"Horror, Mystery, Thriller",2000
The Devil Inside,The Devil Inside,en,2012-01-06,21.514,678.0,4.7,1000000.0,101758490.0,83.0,"Horror, Thriller",2012
Stay Alive,Stay Alive,en,2006-03-24,21.457,606.0,5.8,9000000.0,27105095.0,85.0,"Horror, Thriller",2006
A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street 3: Dream Warriors,en,1987-02-27,21.198,1376.0,6.7,4000000.0,44800000.0,96.0,"Horror, Thriller",1987
Fright Night,Fright Night,en,2011-08-18,21.17,1634.0,6.2,30000000.0,41002607.0,106.0,"Comedy, Horror",2011
The Eye,The Eye,en,2008-02-01,21.115,861.0,5.8,12000000.0,58010320.0,98.0,"Drama, Horror, Thriller",2008
The Fog,The Fog,en,2005-10-14,21.112,598.0,4.5,18000000.0,46201432.0,100.0,"Horror, Thriller",2005
The Haunting,The Haunting,en,1999-07-23,21.112,1132.0,5.4,80000000.0,91188905.0,113.0,"Fantasy, Horror, Mystery, Thriller",1999
The Last Exorcism,The Last Exorcism,en,2010-08-27,21.06,839.0,5.6,1800000.0,67738090.0,87.0,"Horror, Thriller",2010
Let Me In,Let Me In,en,2010-10-01,20.924,1728.0,6.8,20000000.0,24145613.0,116.0,"Drama, Horror, Mystery",2010
A Nightmare on Elm Street: The Dream Child,A Nightmare on Elm Street: The Dream Child,en,1989-08-11,20.909,972.0,5.4,6000000.0,22168359.0,89.0,"Horror, Thriller",1989
Snakes on a Plane,Snakes on a Plane,en,2006-08-17,20.872,1448.0,5.4,33000000.0,62022014.0,105.0,"Action, Crime, Horror, Thriller",2006
The Cave,The Cave,en,2005-08-26,20.815,745.0,5.3,30000000.0,33296457.0,97.0,"Action, Adventure, Horror, Thriller",2005
Devil's Due,Devil's Due,en,2014-01-08,20.748,448.0,4.6,7000000.0,36433975.0,89.0,Horror,2014
Land of the Dead,Land of the Dead,en,2005-06-18,20.544,1287.0,6.2,15000000.0,47074133.0,93.0,"Horror, Science Fiction, Thriller",2005
Lake Placid,Lake Placid,en,1999-07-15,20.488,909.0,5.9,27000000.0,56870414.0,82.0,"Action, Comedy, Horror, Science Fiction, Thriller",1999
Fantasy Island,Fantasy Island,en,2020-02-12,20.453,2020.0,5.9,7000000.0,47078545.0,109.0,"Adventure, Fantasy, Horror, Mystery",2020
Sleepwalkers,Sleepwalkers,en,1992-04-10,20.416,411.0,6.0,15000000.0,30524763.0,91.0,"Fantasy, Horror, Thriller",1992
Cabin Fever,Cabin Fever,en,2003-08-15,20.364,1041.0,5.7,1500000.0,30553395.0,93.0,Horror,2003
Teeth,Teeth,en,2007-06-17,20.36,588.0,5.3,2000000.0,2340110.0,94.0,"Comedy, Horror",2007
One Missed Call,One Missed Call,en,2008-01-04,20.351,646.0,5.4,20000000.0,45847751.0,87.0,"Horror, Mystery, Thriller",2008
곡성,The Wailing,ko,2016-05-12,20.26,1313.0,7.3,10951000.0,49851770.0,155.0,"Horror, Mystery",2016
Village of the Damned,Village of the Damned,en,1995-04-28,20.256,661.0,6.0,22000000.0,9418365.0,99.0,"Horror, Science Fiction, Thriller",1995
Eight Legged Freaks,Eight Legged Freaks,en,2002-07-17,20.211,980.0,5.7,30000000.0,45867333.0,99.0,"Action, Comedy, Horror, Thriller",2002
Amityville II: The Possession,Amityville II: The Possession,en,1982-09-24,20.16,268.0,5.8,5000000.0,12534817.0,104.0,Horror,1982
Dracula 2000,Dracula 2000,en,2000-12-22,20.145,532.0,5.1,28000000.0,47053625.0,99.0,"Horror, Thriller",2000
