registration_number,postal_code,transaction_value,transaction_date,built_area,latitude,longitude,neighborhood
5133200420.0,03226-090,1000000,2022-01-11,389,-23.5925271,-46.5666354,Jardim Avelino
13708200577.0,08421-080,190000,2022-01-24,49,-23.5613418,-46.4226372,Vila Cosmopolita
12416700153.0,05171-010,550000,2022-01-14,100,-23.4791566,-46.75234,Conjunto Residencial Vista Verde
14503200452.0,08280-200,325000,2022-01-07,68,-23.5640083,-46.4755142,Cidade Líder
13106300697.0,08061-010,320680,2019-10-16,124,-23.5036877,-46.4661965,Jardim Pedro José Nunes
10110600291.0,05589-000,450000,2022-01-27,80,-23.5759589,-46.7387861,Vila Gomes
11645600695.0,03471-000,370000,2022-01-21,143,-23.5684684,-46.5191201,Jardim Vila Formosa
7536500068.0,02560-230,47000,2022-01-25,25,-23.4934439,-46.6704155,Vila Santista
15025500213.0,03966-030,450000,2021-12-30,86,-23.5991338,-46.4765287,Cidade São Mateus
5907702559.0,03651-100,470000,2022-01-11,108,-23.52346,-46.5194962,Vila Esperança
20103600432.0,05572-150,393400,2022-01-20,78,-23.5959855,-46.796899,Parque Ipe
2110501898.0,05016-081,1450000,2021-12-22,203,-23.5390954,-46.6758154,Perdizes
6802300771.0,02073-060,980000,2022-01-11,212,-23.5006875,-46.6099132,Vila Paiva
19213400046.0,08141-620,112583,2022-01-26,60,-23.5103005,-46.3884926,Jardim Camargo Novo
6820506287.0,02078-050,340000,2022-01-13,114,-23.4991326,-46.59510410000001,Vila Leonor
11322300101.0,03563-070,182000,2022-01-21,140,-23.5446627,-46.4908471,Vila Nhocuné
14202002139.0,03685-010,121892,2022-01-24,51,-23.5244984,-46.47731779999999,Jardim Sao Nicolau
14734102261.0,08275-580,350000,2022-01-14,110,-23.5684793,-46.4815265,Fazenda Aricanduva
5134000611.0,03211-090,760000,2022-01-21,252,-23.6041725,-46.5537249,Sítio da Figueira
13601900083.0,08460-300,110000,2022-01-21,80,-23.5506924,-46.4004854,Jardim Soares
8104300547.0,05451-060,1700000,2022-01-27,161,-23.5436016,-46.70193,Vila Madalena
13514300126.0,08150-140,285000,2022-01-19,57,-23.5170854,-46.4136037,Jardim Robru
6749500293.0,02317-170,1100000,2022-01-18,335,-23.4585579,-46.5898177,Jardim Guapira
11612700984.0,03436-040,220000,2022-01-17,62,-23.5615551,-46.5317579,Vila Carrão
11720200083.0,03288-010,702615,2022-01-21,220,-23.5919163,-46.5326608,Vila Nova
5702401263.0,03503-000,700000,2022-01-24,141,-23.5371929,-46.541898,Vila Aricanduva
16200132991.0,04661-300,770000,2022-01-27,100,-23.6840015,-46.691965,Vila Arriete
16808400503.0,05793-250,180000,2022-01-24,105,-23.639371,-46.7749994,Jardim Elizabeth
18312101501.0,05782-370,490000,2022-01-24,81,-23.6516019,-46.7687077,Parque Munhoz
7329700363.0,02511-010,330000,2022-01-31,69,-23.5090994,-46.6520509,Casa Verde
16036200780.0,05386-330,530000,2022-01-24,104,-23.564831,-46.756464,Rio Pequeno
6029908448.0,03613-000,375000,2022-01-21,84,-23.5182561,-46.53386460000001,Vila Santana
19202602386.0,08142-005,200000,2022-01-26,145,-23.5126132,-46.3841553,Jardim Nélia
11320100308.0,03569-020,280000,2022-01-29,82,-23.5415684,-46.48964429999999,Parque Artur Alvim
4802300506.0,04151-040,1100000,2022-01-26,255,-23.6204928,-46.62503599999999,Bosque da Saúde
10904201006.0,02375-120,650000,2022-01-24,142,-23.4529881,-46.6250615,Vila Irmaos Arnoni
13440900540.0,08111-310,330000,2022-01-21,55,-23.4915265,-46.385117,Jardim das Oliveiras
9132400225.0,04324-180,800000,2022-01-14,388,-23.6590861,-46.636897,Vila do Encontro
5914001201.0,03664-000,550000,2022-01-10,88,-23.5262344,-46.4982447,Vila Ré
8727700259.0,04756-130,499710,2022-01-25,71,-23.6457398,-46.7218639,Vila Almeida
8815400184.0,04748-000,2100000,2022-01-26,250,-23.6496612,-46.68920079999999,Santo Amaro
14513701055.0,08275-200,260000,2022-01-28,140,-23.5717386,-46.47919040000001,Jardim Nossa Senhora do Carmo
12111407282.0,04458-000,336000,2022-01-26,68,-23.6882386,-46.67164589999999,Jardim Ubirajara (Zona Sul)
16915701051.0,05773-110,201757,2022-01-06,35,-23.6380754,-46.7557522,Parque Regina
4529700267.0,04060-009,610000,2022-01-06,100,-23.6150728,-46.6465483,Planalto Paulista
10508700166.0,05172-330,450000,2022-01-25,182,-23.480051,-46.7469644,Vila Pirituba
