registration_number,postal_code,transaction_value,transaction_date,built_area
11276400283.0,08022-320,175000,2022-02-18,70
15926201321.0,05366-000,480000,2022-02-18,109
6854201926.0,02247-090,460000,2022-02-22,120
26400900061.0,04870-320,100000,2022-02-24,70
20110501509.0,05547-030,790000,2022-02-18,142
15709602409.0,04182-010,450000,2022-02-09,120
11108900649.0,03880-060,550000,2022-02-09,131
13446402275.0,08140-060,270000,2022-02-17,55
14602700240.0,03575-110,310000,2022-02-22,112
7832900962.0,05136-110,450000,2022-02-14,148
23005700087.0,08255-315,300000,2022-02-15,35
20101201115.0,05570-230,350000,2022-02-17,120
30605400943.0,02521-090,600000,2022-02-18,133
7821400831.0,05122-080,725000,2022-02-18,230
25300700094.0,08320-870,480000,2022-02-18,164
16020100099.0,05353-160,830000,2022-02-15,263
8117300621.0,05433-000,320000,2022-02-22,52
5915401481.0,03666-000,305000,2022-02-21,64
